Time engk1       engi1       
  0.1142E-01  0.3152E+07  0.7574E+05
  0.1146E-01  0.3152E+07  0.7611E+05
  0.1149E-01  0.3151E+07  0.7648E+05
  0.1153E-01  0.3151E+07  0.7685E+05
  0.1156E-01  0.3151E+07  0.7721E+05
  0.1159E-01  0.3150E+07  0.7757E+05
  0.1163E-01  0.3150E+07  0.7792E+05
  0.1166E-01  0.3150E+07  0.7827E+05
  0.1170E-01  0.3149E+07  0.7861E+05
  0.1173E-01  0.3149E+07  0.7894E+05
  0.1176E-01  0.3149E+07  0.7928E+05
  0.1180E-01  0.3148E+07  0.7961E+05
  0.1183E-01  0.3148E+07  0.7994E+05
  0.1187E-01  0.3147E+07  0.8027E+05
  0.1190E-01  0.3147E+07  0.8062E+05
  0.1193E-01  0.3147E+07  0.8098E+05
  0.1197E-01  0.3146E+07  0.8136E+05
  0.1200E-01  0.3146E+07  0.8175E+05
  0.1204E-01  0.3146E+07  0.8215E+05
  0.1207E-01  0.3145E+07  0.8256E+05
  0.1211E-01  0.3145E+07  0.8299E+05
  0.1214E-01  0.3144E+07  0.8342E+05
  0.1217E-01  0.3144E+07  0.8386E+05
  0.1221E-01  0.3143E+07  0.8431E+05
  0.1224E-01  0.3143E+07  0.8475E+05
  0.1228E-01  0.3142E+07  0.8520E+05
  0.1231E-01  0.3142E+07  0.8566E+05
  0.1234E-01  0.3141E+07  0.8610E+05
  0.1238E-01  0.3141E+07  0.8655E+05
  0.1241E-01  0.3141E+07  0.8699E+05
  0.1245E-01  0.3140E+07  0.8743E+05
  0.1248E-01  0.3140E+07  0.8785E+05
  0.1251E-01  0.3139E+07  0.8828E+05
  0.1255E-01  0.3139E+07  0.8869E+05
  0.1258E-01  0.3138E+07  0.8910E+05
  0.1262E-01  0.3138E+07  0.8951E+05
  0.1265E-01  0.3137E+07  0.8991E+05
  0.1268E-01  0.3137E+07  0.9031E+05
  0.1272E-01  0.3137E+07  0.9071E+05
  0.1275E-01  0.3136E+07  0.9112E+05
  0.1279E-01  0.3136E+07  0.9152E+05
  0.1282E-01  0.3135E+07  0.9193E+05
  0.1286E-01  0.3135E+07  0.9233E+05
  0.1289E-01  0.3134E+07  0.9273E+05
  0.1292E-01  0.3134E+07  0.9312E+05
  0.1296E-01  0.3134E+07  0.9352E+05
  0.1299E-01  0.3133E+07  0.9392E+05
  0.1303E-01  0.3133E+07  0.9432E+05
  0.1306E-01  0.3132E+07  0.9472E+05
  0.1309E-01  0.3132E+07  0.9513E+05
  0.1313E-01  0.3131E+07  0.9555E+05
  0.1316E-01  0.3131E+07  0.9597E+05
  0.1320E-01  0.3130E+07  0.9638E+05
  0.1323E-01  0.3130E+07  0.9680E+05
  0.1326E-01  0.3130E+07  0.9722E+05
  0.1330E-01  0.3129E+07  0.9764E+05
  0.1333E-01  0.3129E+07  0.9806E+05
  0.1337E-01  0.3128E+07  0.9848E+05
  0.1340E-01  0.3128E+07  0.9889E+05
  0.1343E-01  0.3127E+07  0.9930E+05
  0.1347E-01  0.3127E+07  0.9970E+05
  0.1350E-01  0.3127E+07  0.1001E+06
  0.1354E-01  0.3126E+07  0.1005E+06
  0.1357E-01  0.3126E+07  0.1009E+06
  0.1361E-01  0.3125E+07  0.1012E+06
  0.1364E-01  0.3125E+07  0.1016E+06
  0.1367E-01  0.3125E+07  0.1019E+06
  0.1371E-01  0.3124E+07  0.1023E+06
  0.1374E-01  0.3124E+07  0.1026E+06
  0.1378E-01  0.3124E+07  0.1030E+06
  0.1381E-01  0.3123E+07  0.1033E+06
  0.1384E-01  0.3123E+07  0.1037E+06
  0.1388E-01  0.3122E+07  0.1040E+06
  0.1391E-01  0.3122E+07  0.1044E+06
  0.1395E-01  0.3122E+07  0.1048E+06
  0.1398E-01  0.3121E+07  0.1052E+06
  0.1401E-01  0.3121E+07  0.1056E+06
  0.1405E-01  0.3120E+07  0.1061E+06
  0.1408E-01  0.3120E+07  0.1066E+06
  0.1412E-01  0.3119E+07  0.1071E+06
  0.1415E-01  0.3119E+07  0.1076E+06
  0.1419E-01  0.3118E+07  0.1081E+06
  0.1422E-01  0.3118E+07  0.1086E+06
  0.1425E-01  0.3117E+07  0.1091E+06
  0.1429E-01  0.3116E+07  0.1096E+06
  0.1432E-01  0.3116E+07  0.1101E+06
  0.1436E-01  0.3115E+07  0.1106E+06
  0.1439E-01  0.3115E+07  0.1111E+06
  0.1442E-01  0.3114E+07  0.1116E+06
  0.1446E-01  0.3114E+07  0.1121E+06
  0.1449E-01  0.3113E+07  0.1126E+06
  0.1453E-01  0.3113E+07  0.1130E+06
  0.1456E-01  0.3112E+07  0.1135E+06
  0.1459E-01  0.3112E+07  0.1139E+06
  0.1463E-01  0.3111E+07  0.1144E+06
  0.1466E-01  0.3111E+07  0.1148E+06
  0.1470E-01  0.3111E+07  0.1152E+06
  0.1473E-01  0.3110E+07  0.1157E+06
  0.1476E-01  0.3110E+07  0.1161E+06
  0.1480E-01  0.3109E+07  0.1165E+06
  0.1483E-01  0.3109E+07  0.1170E+06
  0.1487E-01  0.3108E+07  0.1174E+06
  0.1490E-01  0.3108E+07  0.1178E+06
  0.1494E-01  0.3108E+07  0.1182E+06
  0.1497E-01  0.3107E+07  0.1187E+06
  0.1500E-01  0.3107E+07  0.1191E+06
  0.1504E-01  0.3106E+07  0.1195E+06
  0.1507E-01  0.3106E+07  0.1199E+06
  0.1511E-01  0.3105E+07  0.1203E+06
  0.1514E-01  0.3105E+07  0.1207E+06
  0.1517E-01  0.3105E+07  0.1211E+06
  0.1521E-01  0.3104E+07  0.1215E+06
  0.1524E-01  0.3104E+07  0.1220E+06
  0.1528E-01  0.3103E+07  0.1224E+06
  0.1531E-01  0.3103E+07  0.1228E+06
  0.1534E-01  0.3102E+07  0.1233E+06
  0.1538E-01  0.3102E+07  0.1238E+06
  0.1541E-01  0.3102E+07  0.1242E+06
  0.1545E-01  0.3101E+07  0.1247E+06
  0.1548E-01  0.3101E+07  0.1251E+06
  0.1551E-01  0.3100E+07  0.1256E+06
  0.1555E-01  0.3100E+07  0.1260E+06
  0.1558E-01  0.3099E+07  0.1264E+06
  0.1562E-01  0.3099E+07  0.1268E+06
  0.1565E-01  0.3099E+07  0.1272E+06
  0.1569E-01  0.3098E+07  0.1276E+06
  0.1572E-01  0.3098E+07  0.1280E+06
  0.1575E-01  0.3097E+07  0.1283E+06
  0.1579E-01  0.3097E+07  0.1287E+06
  0.1582E-01  0.3097E+07  0.1291E+06
  0.1586E-01  0.3096E+07  0.1294E+06
  0.1589E-01  0.3096E+07  0.1298E+06
  0.1592E-01  0.3096E+07  0.1302E+06
  0.1596E-01  0.3095E+07  0.1306E+06
  0.1599E-01  0.3095E+07  0.1310E+06
  0.1603E-01  0.3094E+07  0.1315E+06
  0.1606E-01  0.3094E+07  0.1319E+06
  0.1609E-01  0.3093E+07  0.1324E+06
  0.1613E-01  0.3093E+07  0.1329E+06
  0.1616E-01  0.3092E+07  0.1333E+06
  0.1620E-01  0.3092E+07  0.1338E+06
  0.1623E-01  0.3091E+07  0.1343E+06
  0.1627E-01  0.3091E+07  0.1348E+06
  0.1630E-01  0.3090E+07  0.1352E+06
  0.1633E-01  0.3090E+07  0.1357E+06
  0.1637E-01  0.3089E+07  0.1362E+06
  0.1640E-01  0.3089E+07  0.1367E+06
  0.1644E-01  0.3088E+07  0.1372E+06
  0.1647E-01  0.3088E+07  0.1377E+06
  0.1650E-01  0.3087E+07  0.1382E+06
  0.1654E-01  0.3087E+07  0.1386E+06
  0.1657E-01  0.3086E+07  0.1391E+06
  0.1661E-01  0.3086E+07  0.1396E+06
  0.1664E-01  0.3085E+07  0.1400E+06
  0.1667E-01  0.3085E+07  0.1405E+06
  0.1671E-01  0.3084E+07  0.1409E+06
  0.1674E-01  0.3084E+07  0.1413E+06
  0.1678E-01  0.3083E+07  0.1418E+06
  0.1681E-01  0.3083E+07  0.1422E+06
  0.1684E-01  0.3082E+07  0.1427E+06
